DEFECTID,XREL,YREL,XINDEX,YINDEX,XSIZE,YSIZE,DEFECTAREA,DSIZE,CLASSNUMBER,TEST,CLUSTERNUMBER,ROUGHBINNUMBER
2544,625.51,128.543,55,32,14.835,24.437,4800,96.569,0,2,0,4
2545,27.553,1029.436,55,27,21.664,23.545,4800,96.569,0,2,0,4
2546,633.393,424.3,55,32,29.648,63.122,305.503,58.544,0,2,0,4
2547,627.159,136.637,55,37,13.012,53.995,6400,129.218,0,2,0,4
2548,29.874,729.8,55,32,22.243,19.892,4800,96.569,0,2,0,4
2549,633.393,695.436,55,32,29.648,39.212,238.731,48.776,0,2,0,4
2550,32.299,1033.041,55,32,30.605,33.474,385.995,48.053,0,2,0,4
2551,626.112,1035.643,55,32,16.048,37.19,4800,96.569,0,2,0,4
2552,628.002,1022.891,55,37,19.989,58.454,8000,129.218,0,2,0,4
2553,27.487,723.959,55,37,19.226,14.108,6400,96.569,0,2,0,4
2554,628.526,419.677,55,37,19.127,60.953,8000,129.218,0,2,0,4
2555,28.424,130.332,55,37,18.78,32.666,4800,96.569,0,2,0,4
2556,31.427,1035.38,-20,27,29.346,141.691,201.607,39.212,0,2,0,8
2557,21.233,427.544,-45,32,6.695,4.782,18.294,7.722,0,2,0,4
2558,31.469,1035.395,-45,32,29.345,141.691,215.373,36.343,0,2,0,8
2559,26.029,428.096,-20,32,7.651,5.738,27.44,9.072,0,2,0,4
2560,31.362,1035.469,-20,32,29.346,141.691,154.129,25.822,0,2,0,8
2561,39.977,752.322,-45,37,3.826,3.826,6.403,5.014,0,2,0,4
2562,31.903,115.708,-45,37,27.83,141.299,66.075,16.259,0,2,0,8
2563,31.565,1035.479,-45,37,29.346,141.691,180.415,34.43,0,2,0,8
2564,25.677,425.167,-20,37,8.608,5.738,26.526,9.855,0,2,0,4
2565,31.489,1035.41,-20,37,29.346,141.691,160.293,30.604,0,2,0,8
2566,22.286,418.421,-45,42,8.608,5.738,24.696,9.855,0,2,0,4
2567,31.567,1035.358,-45,42,29.346,141.691,207.344,35.386,0,2,0,8
2568,26.561,419.87,-20,42,8.608,6.695,29.27,10.424,0,2,0,4
2569,31.416,1035.373,-20,42,29.346,141.691,197.844,32.517,0,2,0,8
2570,22.417,426.17,-45,47,8.606,5.739,23.782,9.855,0,2,0,4
2571,31.696,1035.453,-45,47,29.346,141.691,255.191,51.645,0,2,0,8
2572,43.286,736.447,-20,47,5.738,4.782,11.891,5.74,0,2,0,4
2573,26.549,427.056,-20,47,10.52,5.739,32.014,11.256,0,2,0,4
2574,31.405,1035.386,-20,47,29.346,141.691,145.046,24.866,0,2,0,8
2575,30.376,719.791,-45,52,3.824,3.826,10.976,4.339,0,2,0,4
2576,21.29,426.179,-45,52,6.695,5.737,20.123,8.395,0,2,0,4
2577,31.862,115.693,-45,52,27.832,141.3,92.571,20.084,0,2,0,8
2578,633.475,415.767,-45,52,28.889,142.084,73.734,21.997,0,2,0,8
2579,31.524,1035.464,-45,52,29.345,141.691,272.712,49.732,0,2,0,8
2580,31.764,115.693,-20,52,27.831,141.298,110.429,23.91,0,2,0,8
2581,633.378,415.769,-20,52,28.889,142.086,64.766,19.128,0,2,0,8
2582,31.428,1035.466,-20,52,29.346,141.691,224.549,39.212,0,2,0,8
2583,32.221,731.179,-45,57,3.824,5.737,14.635,6.472,0,2,0,4
2584,20.743,427.525,-45,57,5.739,4.782,18.294,7.043,0,2,0,4
2585,633.653,1035.568,-45,57,28.648,140.961,124.262,26.779,0,2,0,8
2586,31.458,1035.378,-45,57,29.346,141.691,275.526,37.299,0,2,0,8
2587,24.151,428.048,-20,57,9.563,5.739,29.27,10.373,0,2,0,4
2588,633.347,415.722,-20,57,28.889,142.086,87.869,25.822,0,2,0,8
2589,31.397,1035.419,-20,57,29.346,141.691,176.581,34.43,0,2,0,8
2590,21.057,428.124,-45,62,6.695,5.737,20.123,8.395,0,2,0,4
2591,31.292,1035.495,-45,62,29.345,141.693,268.665,54.514,0,2,0,8
2592,23.278,428.136,-20,62,11.477,5.737,33.843,12.14,0,2,0,4
2593,31.817,115.734,-20,62,27.831,141.3,93.381,17.215,0,2,0,8
2594,31.48,1035.507,-20,62,29.346,141.693,218.831,39.212,0,2,0,8
2595,20.754,427.195,-50,57,6.695,5.737,17.379,8.395,0,2,0,4
2596,31.348,1035.527,-50,57,29.346,141.691,281.956,37.299,0,2,0,8
2597,24.633,421.386,-20,67,10.521,5.737,32.014,11.256,0,2,0,4
2598,31.402,1035.456,-20,67,29.346,141.689,185.553,32.517,0,2,0,8
2599,639.596,443.871,-50,52,16.258,6.695,32.928,16.924,0,2,0,4
2600,20.811,426.656,-50,52,6.695,4.782,12.806,7.722,0,2,0,4
2601,638.161,387.921,-50,52,13.39,11.477,60.369,15.371,0,2,0,4
2602,31.743,115.691,-50,52,27.832,141.298,136.266,21.041,0,2,0,8
2603,31.405,1035.462,-50,52,29.346,141.691,256.344,40.168,0,2,0,8
2604,22.364,426.688,-50,47,9.565,6.695,20.123,11.105,0,2,0,4
2605,31.522,1035.496,-50,47,29.346,141.689,225.546,47.819,0,2,0,8
2606,25.308,421.476,-25,67,10.52,5.737,32.928,11.256,0,2,0,4
2607,31.477,1035.546,-25,67,29.346,141.693,179.169,28.692,0,2,0,8
2608,20.835,419.493,-50,42,6.693,5.738,17.379,8.395,0,2,0,4
2609,31.428,1035.474,-50,42,29.345,141.691,211.102,39.212,0,2,0,8
2610,23.933,428.265,-25,62,11.477,5.741,38.417,12.14,0,2,0,4
2611,31.537,1035.632,-25,62,29.346,141.689,197.282,31.561,0,2,0,8
2612,20.725,423.359,-50,37,6.695,5.738,21.038,8.395,0,2,0,4
2613,31.319,1035.515,-50,37,29.346,141.691,176.375,36.343,0,2,0,8
2614,642.702,691.583,-25,57,11.477,29.648,191.168,29.648,0,2,0,4
2615,24.875,428.097,-25,57,7.651,5.739,29.27,8.605,0,2,0,4
2616,31.523,1035.47,-25,57,29.346,141.691,199.531,34.43,0,2,0,8
2617,20.2,427.604,-50,32,5.739,4.782,14.635,7.043,0,2,0,4
2618,31.272,1035.455,-50,32,29.346,141.691,210.915,31.561,0,2,0,8
2619,25.333,426.158,-25,52,10.52,5.739,31.099,11.256,0,2,0,4
2620,31.501,1035.445,-25,52,29.346,141.689,225.283,39.212,0,2,0,8
2621,44.202,709.283,-50,27,3.826,3.825,10.061,4.339,0,2,0,4
2622,20.77,427.15,-50,27,6.695,5.738,18.294,8.395,0,2,0,4
2623,31.364,1035.479,-50,27,29.346,141.691,269.552,43.037,0,2,0,8
2624,26.832,427.289,-25,47,9.563,5.739,32.014,10.739,0,2,0,4
2625,31.566,1035.619,-25,47,29.346,141.691,178.534,31.561,0,2,0,8
2626,45.076,713.237,-25,42,3.826,3.825,11.891,4.339,0,2,0,4
2627,27.381,419.626,-25,42,8.608,5.739,31.099,9.855,0,2,0,4
2628,633.833,1035.797,-25,42,28.65,140.961,82.023,19.128,0,2,0,8
2629,31.638,1035.607,-25,42,29.346,141.691,153.098,25.822,0,2,0,8
2630,44.17,703.983,-50,22,3.826,4.782,14.635,5.69,0,2,0,4
2631,21.217,425.674,-50,22,7.652,4.782,18.294,8.239,0,2,0,4
2632,31.333,1035.438,-50,22,29.346,141.691,176.317,29.648,0,2,0,8
2633,20.68,420.87,-50,17,6.695,4.782,18.294,7.722,0,2,0,4
2634,31.274,1035.418,-50,17,29.346,141.691,224.273,41.125,0,2,0,8
2635,26.411,424.424,-25,37,8.608,5.738,28.355,9.489,0,2,0,4
2636,31.624,1035.623,-25,37,29.346,141.691,181.117,29.648,0,2,0,8
2637,20.155,425.723,-50,12,5.737,4.782,19.208,6.472,0,2,0,4
2638,31.225,1035.487,-50,12,29.346,141.689,208.287,36.343,0,2,0,8
2639,633.06,1020.208,-25,32,30.604,32.517,271.66,40.856,0,2,0,4
2640,26.233,427.725,-25,32,6.695,4.782,22.867,7.722,0,2,0,4
2641,31.445,1035.577,-25,32,29.346,141.691,156.882,24.866,0,2,0,8
2642,29.627,429.094,-25,27,13.389,7.651,42.99,14.639,0,2,0,4
2643,31.492,1035.51,-25,27,29.346,141.691,198.633,35.386,0,2,0,8
2644,27.196,425.867,-25,22,8.607,4.782,21.952,9.123,0,2,0,4
2645,31.452,1035.632,-25,22,29.346,141.691,174.11,31.561,0,2,0,8
2646,38.037,756.749,-55,12,3.826,4.782,9.147,5.69,0,2,0,4
2647,20.827,425.362,-55,12,7.648,5.739,23.782,9.072,0,2,0,4
2648,31.631,115.831,-55,12,27.832,141.3,79.403,17.215,0,2,0,8
2649,31.291,1035.602,-55,12,29.346,141.691,161.304,35.386,0,2,0,8
2650,27.673,421.5,-25,17,7.651,5.737,21.038,8.605,0,2,0,4
2651,31.452,1035.567,-25,17,29.346,141.691,198.894,36.343,0,2,0,8
2652,643.897,694.112,-55,17,8.61,32.518,158.239,32.517,0,2,0,4
2653,22.245,420.582,-55,17,10.521,5.739,21.952,11.622,0,2,0,4
2654,633.233,415.909,-55,17,28.889,142.084,100.902,21.997,0,2,0,8
2655,31.28,1035.608,-55,17,29.346,141.691,271.383,40.168,0,2,0,8
2656,27.235,425.329,-25,12,6.695,5.739,21.952,7.722,0,2,0,4
2657,31.491,1035.573,-25,12,29.346,141.691,200.677,37.299,0,2,0,8
2658,41.428,740.033,-55,22,4.78,3.825,12.806,5.223,0,2,0,4
2659,20.866,425.86,-55,22,7.648,4.782,22.867,8.605,0,2,0,4
2660,31.334,1035.625,-55,22,29.346,141.69,208.231,32.517,0,2,0,8
2661,26.723,428.606,-25,7,7.651,4.782,19.208,8.239,0,2,0,4
2662,31.457,1035.503,-25,7,29.346,141.691,180.205,25.822,0,2,0,8
2663,20.909,426.851,-55,27,7.652,6.695,20.123,9.748,0,2,0,4
2664,31.381,1035.658,-55,27,29.346,141.691,283.826,48.776,0,2,0,8
2665,44.458,713.223,-25,2,4.782,3.826,14.635,5.223,0,2,0,4
2666,26.765,428.219,-25,2,7.65,5.741,23.782,7.722,0,2,0,4
2667,31.499,1035.594,-25,2,29.346,141.689,243.417,37.299,0,2,0,8
2668,243.066,405.629,-33,0,6.695,8.61,38.417,9.123,0,2,0,2
2669,41.936,761.058,-55,34,3.826,3.826,11.891,4.339,0,2,0,4
2670,37.139,755.34,-55,37,3.822,3.826,8.232,3.973,0,2,0,4
2671,21.358,423.473,-55,37,8.606,5.738,20.123,9.855,0,2,0,4
2672,31.354,1035.628,-55,37,29.346,141.691,195.783,29.648,0,2,0,8
2673,20.955,418.675,-55,42,7.652,5.739,21.038,9.072,0,2,0,4
2674,31.428,1035.611,-55,42,29.346,141.69,216.464,43.037,0,2,0,8
2675,21.995,426.298,-55,47,9.563,5.737,22.867,10.739,0,2,0,4
2676,31.51,1035.584,-55,47,29.346,141.691,250.668,50.689,0,2,0,8
2677,31.604,115.732,-55,52,27.832,141.3,88.022,16.259,0,2,0,8
2678,31.268,1035.505,-55,52,29.346,141.691,254.111,54.514,0,2,0,8
2679,330.876,461.69,-57,59,16.258,11.477,109.761,17.29,0,2,0,2
2680,238.944,90.2,-32,41,6.695,6.695,37.502,7.722,0,2,0,2
2681,633.631,1034.529,-65,42,28.652,140.961,93.183,21.997,0,2,0,8
2682,633.377,414.641,-65,42,28.889,142.085,66.717,16.259,0,2,0,8
2683,31.436,1034.339,-65,42,29.346,141.691,285.518,49.732,0,2,0,8
2684,31.662,115.593,-65,37,27.832,141.3,215.468,23.91,0,2,0,8
2685,31.326,1035.364,-65,37,29.346,141.691,403.709,60.252,0,2,0,8
2686,37.963,411.759,-65,32,10.521,7.651,21.038,11.777,0,2,0,4
2687,31.674,114.663,-65,32,27.832,141.299,139.583,24.866,0,2,0,8
2688,633.533,1034.625,-65,32,28.648,140.961,99.81,21.997,0,2,0,8
2689,633.287,414.738,-65,32,28.889,142.085,0,0,0,2,0,8
2690,31.334,1034.435,-65,32,29.346,141.691,291.18,37.299,0,2,0,8
2691,31.768,114.598,-65,27,27.832,141.299,253.289,34.43,0,2,0,8
2692,31.428,1034.37,-65,27,29.346,141.691,308.55,51.645,0,2,0,8
2693,38.002,399.692,-65,22,10.521,6.695,31.099,11.256,0,2,0,4
2694,31.717,114.551,-65,22,27.832,141.299,281.049,28.692,0,2,0,8
2695,633.576,1034.513,-65,22,28.648,140.962,75.738,21.997,0,2,0,8
2696,31.381,1034.323,-65,22,29.343,141.691,276.635,37.299,0,2,0,8
2697,386.368,131.397,-67,25,5.737,8.607,24.696,9.855,0,2,0,6
2698,327.736,472.031,-38,52,6.695,7.65,37.502,8.605,0,2,0,2
2699,196.485,896.227,-41,2,16.258,20.084,159.154,20.307,0,2,0,2
2700,41.897,747.145,-40,7,5.737,4.782,12.806,6.472,0,2,0,4
2701,31.329,1035.563,-40,7,29.345,141.691,206.894,32.517,0,2,0,8
2702,42.94,755.434,-40,12,5.739,5.739,15.55,6.472,0,2,0,4
2703,643.071,684.661,-40,12,10.519,17.216,108.847,17.215,0,2,0,4
2704,25.245,425,-40,12,6.695,4.782,18.294,7.722,0,2,0,4
2705,31.415,1035.723,-40,12,29.345,141.691,126.695,19.128,0,2,0,8
2706,31.376,1035.633,-40,17,29.346,141.691,200.649,32.517,0,2,0,8
2707,42.009,746.703,-40,22,3.824,3.825,11.891,5.014,0,2,0,4
2708,639.276,680.713,-40,22,18.171,21.041,146.349,22.597,0,2,0,4
2709,31.442,1035.6,-40,22,29.346,141.691,159.04,32.517,0,2,0,8
2710,22.489,426.728,-40,27,10.521,6.695,31.099,11.622,0,2,0,4
2711,31.526,1035.536,-40,27,29.345,141.691,272.737,43.994,0,2,0,8
2712,23.386,427.738,-40,32,6.695,4.782,19.208,7.356,0,2,0,4
2713,31.468,1035.589,-40,32,29.346,141.691,189.595,30.604,0,2,0,8
2714,43.06,751.953,-40,37,3.826,4.782,11.891,5.223,0,2,0,4
2715,22.499,423.434,-40,37,10.519,5.738,35.672,10.524,0,2,0,4
2716,31.536,1035.589,-40,37,29.346,141.691,155.413,32.517,0,2,0,8
2717,31.548,1035.615,-40,42,29.345,141.69,131.422,24.866,0,2,0,8
2718,44.956,705.681,-40,47,3.826,5.737,16.464,6.106,0,2,0,4
2719,31.518,1035.703,-40,47,29.346,141.691,164.349,33.474,0,2,0,8
2720,31.364,1035.568,-40,52,29.346,141.691,269.085,47.819,0,2,0,8
2721,44.325,717.464,-40,57,4.782,6.695,21.952,6.99,0,2,0,4
2722,642.546,689.726,-40,57,11.477,27.735,203.973,27.735,0,2,0,4
2723,21.851,427.199,-40,57,9.563,5.737,32.928,10.739,0,2,0,4
2724,633.315,415.831,-40,57,28.889,142.084,235.728,44.95,0,2,0,8
2725,31.366,1035.529,-40,57,29.346,141.691,231.257,34.43,0,2,0,8
2726,632.579,413.382,-40,62,29.648,64.075,713.45,64.078,0,2,0,4
2727,21.925,427.253,-40,62,9.563,5.737,32.928,10.739,0,2,0,4
2728,633.39,415.886,-40,62,28.889,142.086,148.044,20.084,0,2,0,8
2729,31.44,1035.585,-40,62,29.346,141.689,174.698,30.604,0,2,0,8
2730,625.13,703.036,-53,7,14.347,25.822,268.001,25.822,0,2,0,4
2731,633.38,715.799,-53,7,28.557,140.615,127.373,21.997,0,2,0,8
2732,488.929,228.25,-53,22,7.652,5.738,29.27,7.651,0,2,0,2
2733,345.007,1009.894,-58,58,5.737,3.826,10.061,6.472,0,2,0,2
2734,458.335,966.379,-58,58,6.695,4.784,21.952,6.695,0,2,0,2
2735,41.213,710.048,-60,52,10.517,5.737,25.611,10.89,0,2,0,4
2736,31.647,105.611,-60,52,29.648,34.43,513.135,44.914,0,2,0,4
2737,31.701,115.515,-60,52,27.832,141.298,333.787,30.604,0,2,0,8
2738,31.362,1035.289,-60,52,29.346,141.691,296.075,54.514,0,2,0,8
2739,633.944,1034.685,-60,47,28.648,140.961,110.813,23.91,0,2,0,8
2740,633.694,414.799,-60,47,28.889,142.084,254.068,33.474,0,2,0,8
2741,31.748,1034.498,-60,47,29.343,141.691,294.564,49.732,0,2,0,8
2742,31.584,1034.529,-60,42,29.346,141.69,222.933,35.386,0,2,0,8
2743,20.307,424.149,-60,37,4.784,3.826,10.976,5.69,0,2,0,4
2744,457.562,388.539,-58,37,10.521,6.695,49.393,10.524,0,2,0,2
2745,31.498,1035.349,-60,37,29.346,141.691,309.335,62.165,0,2,0,8
2746,22.217,427.53,-60,32,8.606,6.695,16.464,9.748,0,2,0,4
2747,633.694,1035.572,-60,32,28.648,140.961,120.472,27.735,0,2,0,8
2748,31.494,1035.381,-60,32,29.346,141.691,289.796,38.256,0,2,0,8
2749,20.768,427.805,-60,27,5.737,3.826,12.806,6.472,0,2,0,4
2750,31.819,114.451,-60,27,27.832,141.299,79.862,14.346,0,2,0,8
2751,31.483,1034.222,-60,27,29.343,141.691,324.597,50.689,0,2,0,8
2752,22.201,426.069,-60,22,8.61,5.738,17.379,9.855,0,2,0,4
2753,31.819,114.625,-60,22,27.832,141.299,0,0,0,2,0,8
2754,31.483,1034.399,-60,22,29.343,141.69,240.567,39.212,0,2,0,8
2755,31.447,1034.258,-60,17,29.343,141.691,291.952,48.776,0,2,0,8
